country_iso,region,sub_region,groups,country_emoji,country_name,country_url
EGY,east-asia-pacific,southeast-asia,,🇪🇬,Egypt,egypt-capability-ratings
ERI,east-asia-pacific,southeast-asia,,🇪🇷,Eritrea,eritrea-capability-ratings
ESH,east-asia-pacific,southeast-asia,,🇪🇭,Western Sahara,western-sahara-capability-ratings
ESP,east-asia-pacific,southeast-asia,,🇪🇸,Spain,spain-capability-ratings
EST,east-asia-pacific,southeast-asia,,🇪🇪,Estonia,estonia-capability-ratings
ETH,east-asia-pacific,southeast-asia,,🇪🇹,Ethiopia,ethiopia-capability-ratings
FIN,east-asia-pacific,southeast-asia,,🇫🇮,Finland,finland-capability-ratings
FJI,east-asia-pacific,southeast-asia,,🇫🇯,Fiji,fiji-capability-ratings
FLK,east-asia-pacific,southeast-asia,,🇫🇰,Falkland Islands (Malvinas),falkland-islands-malvinas-capability-ratings
FRA,east-asia-pacific,southeast-asia,g20,🇫🇷,France,france-capability-ratings
FRO,east-asia-pacific,southeast-asia,,🇫🇴,Faroe Islands,faroe-islands-capability-ratings
FSM,east-asia-pacific,southeast-asia,,🇫🇲,"Micronesia, Federated States of",micronesia-federated-states-of-capability-ratings
GAB,east-asia-pacific,southeast-asia,,🇬🇦,Gabon,gabon-capability-ratings
GBR,east-asia-pacific,southeast-asia,g20,🇬🇧,United Kingdom,united-kingdom-capability-ratings
GEO,east-asia-pacific,southeast-asia,,🇬🇪,Georgia,georgia-capability-ratings
GGY,east-asia-pacific,southeast-asia,,🇬🇬,Guernsey,guernsey-capability-ratings
GHA,east-asia-pacific,southeast-asia,,🇬🇭,Ghana,ghana-capability-ratings
GIB,east-asia-pacific,southeast-asia,,🇬🇮,Gibraltar,gibraltar-capability-ratings
GIN,east-asia-pacific,southeast-asia,,🇬🇳,Guinea,guinea-capability-ratings
GLP,east-asia-pacific,southeast-asia,,🇬🇵,Guadeloupe,guadeloupe-capability-ratings
GMB,east-asia-pacific,southeast-asia,,🇬🇲,Gambia,gambia-capability-ratings
GNB,east-asia-pacific,southeast-asia,,🇬🇼,Guinea-Bissau,guinea-bissau-capability-ratings
GNQ,east-asia-pacific,southeast-asia,,🇬🇶,Equatorial Guinea,equatorial-guinea-capability-ratings
GRC,east-asia-pacific,southeast-asia,,🇬🇷,Greece,greece-capability-ratings
GRD,east-asia-pacific,southeast-asia,,🇬🇩,Grenada,grenada-capability-ratings
GRL,east-asia-pacific,southeast-asia,,🇬🇱,Greenland,greenland-capability-ratings
GTM,east-asia-pacific,southeast-asia,,🇬🇹,Guatemala,guatemala-capability-ratings
GUF,east-asia-pacific,southeast-asia,,🇬🇫,French Guiana,french-guiana-capability-ratings
GUM,east-asia-pacific,southeast-asia,,🇬🇺,Guam,guam-capability-ratings
GUY,east-asia-pacific,southeast-asia,,🇬🇾,Guyana,guyana-capability-ratings
HKG,east-asia-pacific,southeast-asia,,🇭🇰,Hong Kong,hong-kong-capability-ratings
HMD,east-asia-pacific,southeast-asia,,🇭🇲,Heard Island and McDonald Islands,heard-island-and-mcdonald-islands-capability-ratings
HND,east-asia-pacific,southeast-asia,,🇭🇳,Honduras,honduras-capability-ratings
HRV,east-asia-pacific,southeast-asia,,🇭🇷,Croatia,croatia-capability-ratings
HTI,east-asia-pacific,southeast-asia,,🇭🇹,Haiti,haiti-capability-ratings
HUN,east-asia-pacific,southeast-asia,,🇭🇺,Hungary,hungary-capability-ratings
IDN,east-asia-pacific,southeast-asia,,🇮🇩,Indonesia,indonesia-capability-ratings
